frame_id,left_detected,right_detected,left_conf,right_conf
226,1,1,0.47,0.46
227,1,1,0.60,0.49
228,1,1,0.43,0.48
229,1,1,0.39,0.45
230,1,1,0.53,0.48
231,1,1,0.47,0.44
232,1,1,0.46,0.52
233,1,1,0.50,0.56
234,1,1,0.47,0.55
235,1,1,0.49,0.52
236,1,1,0.42,0.59
237,1,1,0.55,0.58
238,1,1,0.56,0.58
239,1,1,0.51,0.36
240,1,1,0.50,0.54
241,1,1,0.56,0.59
242,1,1,0.60,0.42
243,1,1,0.62,0.47
244,1,1,0.71,0.52
245,1,1,0.57,0.51
246,1,1,0.64,0.62
247,1,1,0.43,0.52
248,1,1,0.56,0.53
249,1,1,0.50,0.47
250,1,1,0.61,0.54
251,1,1,0.59,0.52
252,1,1,0.58,0.55
253,1,1,0.44,0.45
254,1,1,0.52,0.46
255,1,1,0.42,0.51
256,1,1,0.52,0.47
257,1,1,0.48,0.42
258,1,1,0.40,0.41
259,1,1,0.46,0.45
260,1,1,0.47,0.46
261,1,1,0.42,0.42
262,1,1,0.54,0.45
263,1,1,0.48,0.48
264,1,1,0.54,0.43
265,1,1,0.60,0.50
266,1,1,0.58,0.48
267,1,1,0.47,0.53
268,1,1,0.56,0.50
269,1,1,0.47,0.48
270,0,1,0.33,0.58
271,1,1,0.54,0.55
272,1,1,0.41,0.52
273,1,1,0.55,0.56
274,1,1,0.50,0.45
275,1,1,0.43,0.49
276,1,1,0.48,0.49
277,1,1,0.49,0.51
278,1,1,0.39,0.53
279,1,1,0.36,0.51
280,1,1,0.52,0.55
281,1,1,0.51,0.48
282,1,1,0.53,0.42
283,1,1,0.51,0.45
284,1,1,0.41,0.42
285,1,1,0.36,0.45
286,1,1,0.49,0.46
287,0,1,0.35,0.42
288,1,1,0.50,0.42
289,1,1,0.43,0.47
290,1,1,0.46,0.44
291,0,1,0.32,0.46
292,1,1,0.35,0.46
293,1,1,0.39,0.49
294,1,1,0.56,0.43
295,1,1,0.38,0.43
296,1,1,0.42,0.48
297,1,1,0.42,0.47
298,1,1,0.37,0.55
299,1,1,0.36,0.45
300,1,1,0.40,0.50
301,1,1,0.42,0.53
302,1,1,0.40,0.52
303,1,1,0.37,0.54
304,0,1,0.10,0.50
305,1,1,0.44,0.50
306,1,1,0.38,0.61
307,1,1,0.35,0.64
308,1,1,0.45,0.48
309,1,1,0.49,0.49
310,1,1,0.41,0.53
311,1,1,0.36,0.45
312,0,1,0.32,0.55
313,1,1,0.47,0.48
314,1,1,0.51,0.49
315,1,1,0.47,0.49
316,1,1,0.44,0.63
317,0,1,0.32,0.45
318,1,1,0.53,0.58
319,1,1,0.59,0.62
320,1,1,0.56,0.50
321,1,1,0.55,0.50
322,1,1,0.47,0.51
323,1,1,0.57,0.57
324,1,1,0.45,0.53
325,1,1,0.43,0.50
326,1,1,0.38,0.53
327,1,1,0.47,0.62
328,1,1,0.53,0.54
329,1,1,0.41,0.41
330,0,1,0.32,0.55
331,1,1,0.56,0.60
332,1,1,0.38,0.59
333,0,1,0.32,0.61
334,1,1,0.38,0.60
335,1,1,0.42,0.40
336,1,1,0.41,0.57
337,1,1,0.41,0.54
338,1,1,0.54,0.50
339,1,1,0.36,0.53
340,1,1,0.37,0.57
341,1,0,0.48,0.35
342,1,1,0.37,0.54
343,1,0,0.38,0.34
344,1,0,0.38,0.35
345,0,0,0.34,0.35
346,1,1,0.40,0.36
347,1,0,0.41,0.34
348,1,1,0.41,0.47
349,1,1,0.36,0.50
350,1,1,0.37,0.45
351,1,1,0.41,0.42
352,1,1,0.39,0.54
353,1,1,0.38,0.45
354,1,1,0.39,0.35
355,0,1,0.33,0.47
356,0,1,0.35,0.42
357,1,1,0.44,0.45
358,1,1,0.38,0.36
359,1,1,0.41,0.48
360,1,1,0.35,0.39
361,1,1,0.35,0.35
362,0,1,0.34,0.44
363,1,1,0.38,0.35
364,0,1,0.33,0.42
365,1,1,0.49,0.36
366,1,1,0.38,0.36
367,1,1,0.38,0.36
368,1,1,0.38,0.40
369,1,1,0.38,0.56
370,1,1,0.56,0.56
371,1,0,0.55,0.33
372,1,1,0.55,0.45
373,1,1,0.54,0.44
374,1,1,0.55,0.41
375,1,1,0.45,0.47
376,1,1,0.52,0.35
377,0,0,0.32,0.33
378,1,1,0.42,0.41
379,1,0,0.35,0.34
380,1,0,0.38,0.33
381,1,0,0.41,0.34
382,1,0,0.44,0.34
383,1,1,0.40,0.39
384,1,1,0.38,0.39
385,1,1,0.42,0.38
386,1,1,0.43,0.35
387,1,1,0.43,0.37
388,1,1,0.41,0.41
389,1,1,0.39,0.42
390,1,1,0.41,0.43
391,1,1,0.42,0.37
392,1,1,0.46,0.45
393,0,1,0.32,0.38
394,1,1,0.35,0.43
395,1,1,0.39,0.39
396,0,1,0.31,0.37
397,0,1,0.34,0.38
398,0,1,0.33,0.42
399,1,1,0.36,0.42
400,1,1,0.38,0.43
401,1,1,0.39,0.39
402,0,1,0.34,0.38
403,1,1,0.36,0.43
404,1,1,0.36,0.44
405,0,1,0.34,0.43
406,1,1,0.38,0.43
407,1,1,0.43,0.40
408,1,1,0.44,0.45
409,1,1,0.51,0.45
410,1,1,0.47,0.38
411,1,1,0.44,0.38
412,1,1,0.48,0.57
413,1,1,0.39,0.38
414,1,1,0.47,0.65
415,1,1,0.49,0.63
416,1,1,0.50,0.55
417,1,1,0.43,0.42
418,1,1,0.45,0.50
419,1,1,0.41,0.48
420,1,1,0.37,0.47
421,0,1,0.34,0.50
422,1,1,0.43,0.50
423,1,1,0.41,0.51
424,0,1,0.33,0.39
425,0,1,0.33,0.58
426,1,1,0.43,0.57
427,1,1,0.36,0.62
428,0,1,0.35,0.57
429,0,1,0.32,0.59
430,1,1,0.37,0.58
431,1,1,0.41,0.54
432,1,1,0.45,0.53
433,1,1,0.39,0.54
434,1,1,0.44,0.57
435,1,1,0.39,0.53
436,1,1,0.41,0.55
437,1,1,0.41,0.40
438,1,1,0.51,0.59
439,1,1,0.47,0.51
440,1,1,0.38,0.42
441,1,1,0.45,0.43
442,1,1,0.44,0.49
443,1,1,0.40,0.52
444,1,1,0.46,0.38
445,1,1,0.48,0.38
446,1,1,0.44,0.53
447,1,0,0.42,0.32
448,1,1,0.44,0.55
