frame_id,left_detected,right_detected,left_conf,right_conf
226,1,1,0.37,0.43
227,1,1,0.54,0.57
228,1,1,0.50,0.50
229,1,1,0.55,0.49
230,1,1,0.53,0.57
231,1,1,0.52,0.59
232,1,1,0.48,0.49
233,1,1,0.52,0.52
234,1,1,0.46,0.50
235,1,1,0.42,0.53
236,1,1,0.40,0.46
237,1,1,0.48,0.52
238,1,1,0.48,0.48
239,1,1,0.53,0.46
240,1,1,0.44,0.45
241,1,1,0.46,0.54
242,1,1,0.41,0.48
243,1,1,0.41,0.54
244,1,1,0.35,0.57
245,1,1,0.38,0.48
246,1,1,0.39,0.47
247,0,1,0.32,0.60
248,1,1,0.39,0.52
249,1,1,0.46,0.53
250,1,1,0.41,0.54
251,1,1,0.40,0.54
252,1,1,0.41,0.55
253,1,1,0.37,0.53
254,1,1,0.36,0.57
255,1,1,0.37,0.56
256,1,1,0.38,0.54
257,1,1,0.37,0.52
258,1,1,0.40,0.51
259,1,1,0.37,0.48
260,1,1,0.37,0.46
261,1,1,0.40,0.54
262,1,1,0.43,0.53
263,1,1,0.44,0.58
264,1,1,0.42,0.53
265,1,1,0.44,0.58
266,1,0,0.56,0.34
267,1,1,0.49,0.47
268,1,1,0.44,0.52
269,1,1,0.44,0.54
270,1,1,0.40,0.46
271,1,1,0.36,0.40
272,1,1,0.46,0.45
273,1,1,0.46,0.43
274,1,0,0.50,0.31
275,1,1,0.51,0.44
276,1,1,0.39,0.51
277,1,1,0.39,0.44
278,1,0,0.43,0.32
279,1,1,0.46,0.44
280,1,1,0.48,0.47
281,1,1,0.50,0.47
282,1,1,0.37,0.45
283,1,0,0.53,0.29
284,1,0,0.42,0.30
285,1,1,0.48,0.42
286,1,1,0.47,0.37
287,1,1,0.41,0.36
288,1,1,0.48,0.42
289,1,0,0.42,0.30
290,1,1,0.43,0.39
291,1,1,0.46,0.38
292,1,1,0.48,0.36
293,1,1,0.43,0.38
294,1,1,0.41,0.41
295,1,1,0.44,0.38
296,1,1,0.40,0.37
297,1,1,0.39,0.38
298,1,1,0.41,0.38
299,0,1,0.32,0.37
300,0,1,0.35,0.39
301,0,1,0.34,0.41
302,1,1,0.38,0.38
303,1,1,0.44,0.41
304,0,1,0.32,0.41
305,1,1,0.36,0.41
306,0,1,0.33,0.42
307,1,1,0.39,0.45
308,1,1,0.36,0.41
309,0,1,0.29,0.38
310,0,1,0.29,0.41
311,1,1,0.44,0.45
312,1,1,0.41,0.36
313,1,1,0.41,0.35
314,1,1,0.42,0.48
315,0,1,0.30,0.51
316,1,1,0.43,0.47
317,0,1,0.30,0.49
318,1,1,0.41,0.50
319,1,1,0.43,0.48
320,0,1,0.32,0.51
321,1,1,0.46,0.51
322,1,1,0.44,0.55
323,1,1,0.38,0.60
324,1,1,0.43,0.52
325,1,1,0.43,0.55
326,1,1,0.39,0.50
327,1,1,0.42,0.58
328,1,1,0.41,0.48
329,1,1,0.44,0.53
330,1,1,0.43,0.60
331,1,1,0.52,0.52
332,1,1,0.47,0.61
333,1,1,0.41,0.54
334,1,1,0.42,0.40
335,1,1,0.42,0.56
336,1,1,0.43,0.61
337,1,1,0.48,0.55
338,1,1,0.43,0.47
339,1,1,0.56,0.53
340,1,1,0.53,0.49
341,1,1,0.44,0.60
342,1,1,0.49,0.57
