frame_id,left_detected,right_detected,left_conf,right_conf
226,0,1,0.35,0.36
227,0,1,0.31,0.46
228,0,0,0.31,0.30
229,0,0,0.32,0.32
230,0,0,0.31,0.32
231,0,0,0.31,0.32
232,0,0,0.31,0.32
233,0,0,0.10,0.30
234,0,0,0.10,0.34
235,0,0,0.32,0.35
236,0,0,0.32,0.33
237,0,0,0.31,0.32
238,0,0,0.31,0.33
239,0,0,0.31,0.35
240,0,1,0.32,0.38
241,0,1,0.34,0.38
242,0,0,0.32,0.33
243,0,1,0.31,0.37
244,0,0,0.32,0.33
245,0,1,0.34,0.37
246,0,1,0.32,0.35
247,0,0,0.32,0.34
248,0,1,0.32,0.36
249,1,1,0.36,0.36
250,1,1,0.35,0.37
251,0,1,0.10,0.36
252,0,1,0.10,0.42
253,0,1,0.10,0.40
254,0,1,0.10,0.45
255,0,1,0.10,0.37
256,0,1,0.10,0.43
257,0,1,0.10,0.40
258,0,1,0.10,0.40
259,0,1,0.10,0.37
260,0,1,0.10,0.37
261,0,1,0.32,0.36
262,0,0,0.10,0.32
263,0,0,0.31,0.33
264,0,0,0.32,0.34
265,0,0,0.10,0.33
266,0,0,0.31,0.33
267,0,0,0.31,0.32
268,0,0,0.10,0.32
269,0,0,0.32,0.34
270,0,0,0.32,0.32
271,0,0,0.32,0.34
272,0,0,0.31,0.32
273,1,0,0.38,0.32
274,1,1,0.38,0.35
275,1,0,0.37,0.34
276,0,0,0.34,0.34
277,0,0,0.12,0.10
278,0,0,0.12,0.31
279,0,0,0.12,0.31
280,0,0,0.33,0.31
281,0,0,0.32,0.10
282,0,0,0.31,0.31
283,0,0,0.35,0.10
284,1,0,0.37,0.10
285,1,0,0.39,0.10
286,1,0,0.38,0.10
287,1,0,0.47,0.10
288,1,0,0.42,0.10
289,1,0,0.44,0.10
290,1,0,0.43,0.10
291,1,0,0.45,0.10
292,1,0,0.37,0.34
293,1,0,0.35,0.32
294,1,0,0.40,0.32
295,1,0,0.36,0.32
296,1,0,0.36,0.32
297,1,0,0.36,0.31
298,1,0,0.37,0.32
299,1,0,0.47,0.32
300,1,0,0.41,0.32
301,1,0,0.42,0.32
302,1,0,0.45,0.22
303,1,0,0.44,0.34
304,1,1,0.44,0.36
305,1,1,0.39,0.36
306,1,0,0.41,0.35
307,1,0,0.47,0.14
308,0,0,0.35,0.33
309,0,0,0.34,0.31
310,1,0,0.36,0.32
311,1,0,0.43,0.32
312,1,0,0.35,0.21
313,0,0,0.34,0.32
314,0,0,0.32,0.10
315,0,0,0.32,0.32
316,0,0,0.32,0.10
317,1,0,0.36,0.10
318,0,0,0.35,0.10
319,1,0,0.44,0.10
320,0,0,0.31,0.10
321,0,0,0.35,0.22
322,0,0,0.34,0.31
323,0,0,0.35,0.10
324,0,0,0.10,0.10
325,0,0,0.10,0.10
326,0,0,0.35,0.32
327,1,0,0.38,0.35
328,1,0,0.40,0.32
329,1,1,0.38,0.36
330,0,0,0.31,0.34
331,0,1,0.32,0.37
332,0,0,0.33,0.10
333,0,0,0.35,0.33
334,0,1,0.35,0.38
335,0,1,0.31,0.45
336,1,1,0.38,0.38
337,1,1,0.36,0.35
338,0,0,0.33,0.34
339,0,0,0.35,0.34
340,1,0,0.41,0.34
341,1,0,0.36,0.33
342,0,0,0.33,0.32
343,0,0,0.31,0.32
344,0,0,0.31,0.32
345,0,0,0.10,0.34
346,0,0,0.34,0.32
347,0,0,0.10,0.26
348,0,1,0.31,0.41
349,0,0,0.32,0.32
350,0,0,0.34,0.32
351,0,0,0.32,0.10
352,0,0,0.32,0.34
353,1,0,0.38,0.28
354,1,0,0.39,0.10
355,0,0,0.35,0.10
356,0,0,0.11,0.32
357,0,0,0.33,0.33
358,1,0,0.37,0.34
359,1,0,0.39,0.34
360,1,0,0.42,0.27
361,1,0,0.35,0.34
362,1,0,0.43,0.34
363,1,0,0.40,0.34
364,0,0,0.35,0.32
365,0,0,0.28,0.34
366,0,1,0.29,0.38
367,1,0,0.36,0.30
368,1,0,0.36,0.28
369,0,0,0.32,0.32
370,1,0,0.39,0.31
371,1,0,0.39,0.32
372,0,1,0.34,0.37
373,0,0,0.34,0.33
374,1,1,0.38,0.42
375,1,0,0.36,0.33
376,0,0,0.35,0.29
377,1,1,0.43,0.38
378,1,0,0.37,0.31
379,1,1,0.39,0.36
380,1,1,0.44,0.37
381,1,1,0.40,0.36
382,1,0,0.41,0.32
383,1,1,0.40,0.36
384,1,0,0.48,0.32
385,1,0,0.50,0.24
386,1,1,0.46,0.43
387,1,0,0.49,0.32
388,1,1,0.48,0.37
389,1,1,0.45,0.39
390,1,0,0.41,0.24
391,1,0,0.42,0.29
392,1,1,0.42,0.37
393,1,0,0.43,0.32
394,1,0,0.47,0.31
395,0,0,0.35,0.32
396,1,0,0.41,0.24
397,0,0,0.33,0.32
398,1,0,0.45,0.32
399,1,0,0.43,0.24
400,1,0,0.43,0.32
401,1,0,0.44,0.26
402,1,0,0.38,0.29
403,1,1,0.40,0.35
404,1,0,0.36,0.28
405,0,0,0.33,0.26
406,1,1,0.39,0.35
407,1,1,0.46,0.35
408,1,0,0.46,0.32
409,1,1,0.44,0.43
410,0,1,0.32,0.36
411,0,1,0.31,0.36
412,1,0,0.43,0.33
413,1,1,0.36,0.39
414,1,1,0.41,0.45
415,1,1,0.36,0.39
416,0,1,0.32,0.36
417,1,1,0.48,0.41
418,1,1,0.42,0.38
419,0,1,0.33,0.37
420,0,1,0.35,0.38
421,1,1,0.39,0.37
422,1,1,0.36,0.51
423,0,1,0.30,0.37
424,0,1,0.35,0.39
425,1,0,0.39,0.32
426,0,1,0.33,0.35
427,0,1,0.35,0.35
428,0,1,0.33,0.37
429,0,0,0.32,0.34
430,0,0,0.33,0.35
431,0,0,0.32,0.34
432,0,0,0.33,0.10
433,0,0,0.32,0.32
434,1,0,0.39,0.31
435,1,0,0.36,0.29
436,0,0,0.31,0.35
437,0,1,0.31,0.38
438,0,0,0.31,0.31
439,0,1,0.32,0.39
440,0,1,0.32,0.43
441,1,1,0.37,0.39
442,1,0,0.35,0.32
443,0,0,0.33,0.28
444,1,0,0.37,0.24
445,0,0,0.33,0.32
446,0,0,0.10,0.32
447,0,0,0.33,0.32
448,1,0,0.38,0.33
